item_id,title,description,tags,category,location,state,min price (RM),max price (RM),operating hours,operating days,closing days,rating,host_id,host_name,contact,more_info,clean_description,clean_tags,clean_operating_hours,clean_operating_days,clean_closing_days,avg_price_rm,combined_text
EX11,Batik House MY,Boutique & studio promoting Malaysian batik artistry through handmade fashion and décor in Selangor.,"batik, fashion, handmade, selangor",Arts & Crafts,Selangor,Selangor,30,300,10:00  AM - 7:00  PM,Daily,Not Mentioned,4.9,HO95,Batik House MY,013-939 6682,https://www.uaofficial.com/,Boutique & studio promoting Malaysian batik artistry through handmade fashion and décor in Selangor.,"batik, fashion, handmade, selangor",10.00 a.m. - 7.00 p.m.,Daily,Not Mentioned,165,"Batik House MY batik, fashion, handmade, selangor Boutique & studio promoting Malaysian batik artistry through handmade fashion and décor in Selangor."
EX12,Batik Wau Bulan (A Malaysian Heritage Kite) Making Workshop,Hands-on batik and kite-making workshop teaching participants to craft traditional Wau Bulan.,"wau bulan, batik, craft, workshop",Arts & Crafts,"55, Jalan Kampung Pantai, Kampung Pantai, 75200 Melaka",Melaka,0,50,11.00  AM - 8.00  PM,Daily,Not Mentioned,4.6,HO201,Malacca Heritage Weekend Workshop,011-2177 6974,https://theweekendworkshop.com.my/malacca/product/batik-waubulan-heritagekite-workshop/,Hands-on batik and kite-making workshop teaching participants to craft traditional Wau Bulan.,"wau bulan, batik, craft, workshop",11.00 a.m. - 8.00 p.m.,Daily,Not Mentioned,25,"Batik Wau Bulan (A Malaysian Heritage Kite) Making Workshop wau bulan, batik, craft, workshop Hands-on batik and kite-making workshop teaching participants to craft traditional Wau Bulan."
EX13,Bazar Kuih Tradisional Gong Kapas,"Popular local market offering a wide variety of traditional Terengganu kuih and snacks, especially in Gong Kapas area.","traditional food, bazar, culinary, terengganu",Food & Culinary,"Gong Kapas, Kuala Terengganu",Terengganu,3,50,12.00  PM - 7:00  PM,Daily,Not Mentioned,4.4,HO107,Bazar Kuih Tradisional Gong Kapas,019-924 6767,https://wanderlog.com/place/details/6856302/bazar-kuih-tradisional-gong-kapas,"Popular local market offering a wide variety of traditional Terengganu kuih and snacks, especially in Gong Kapas area.","traditional food, bazar, culinary, terengganu",12.00 p.m. - 7.00 p.m.,Daily,Not Mentioned,26.5,"Bazar Kuih Tradisional Gong Kapas traditional food, bazar, culinary, terengganu Popular local market offering a wide variety of traditional Terengganu kuih and snacks, especially in Gong Kapas area."
EX14,BeadStory & Crafts,Handmade bead jewelry and Borneo accessories created by local artisans celebrating Sarawak's indigenous craftsmanship. (facebook.com/beadstorycrafts),"beadwork, craft, borneo, handmade",Arts & Crafts,Kuching,Sarawak,15,180,10:00  AM - 6:00  PM,Tue - Sun,Monday,4.7,HO5,BeadStory & Crafts,016-872 9932,https://www.facebook.com/beadstorycrafts,Handmade bead jewelry and Borneo accessories created by local artisans celebrating Sarawak's indigenous craftsmanship. (facebook.com/beadstorycrafts),"beadwork, craft, borneo, handmade",10.00 a.m. - 6.00 p.m.,Tuesday - Sunday,Monday,97.5,"BeadStory & Crafts beadwork, craft, borneo, handmade Handmade bead jewelry and Borneo accessories created by local artisans celebrating Sarawak's indigenous craftsmanship. (facebook.com/beadstorycrafts)"
EX15,Bekang Tradisional Hujung Tanjung (Pok Weil),"Home-based business producing authentic bekang, a sweet delicacy made with coconut and flour; local favourite.","traditional food, dessert, local delicacy, terengganu",Food & Culinary,"Hujung Tanjung Village, Kuala Terengganu",Terengganu,3,8,8.00  AM - 12.00  PM,Daily,Sunday,4.5,HO108,Pok Weil Bekang,010-833 3035,https://bekangtradisional.kiah.store/,"Home-based business producing authentic bekang, a sweet delicacy made with coconut and flour; local favourite.","traditional food, dessert, local delicacy, terengganu",8.00 a.m. - 12.00 p.m.,Daily,Sunday,5.5,"Bekang Tradisional Hujung Tanjung (Pok Weil) traditional food, dessert, local delicacy, terengganu Home-based business producing authentic bekang, a sweet delicacy made with coconut and flour; local favourite."
EX16,Biking through Malay Countryside,"Cycling tour through plantations, orchards, and traditional Malay villages to explore hidden gems.","cycling, countryside, eco tourism",Nature & Eco,George Town,Penang,0,130,7.00  AM -10.15  AM,Upon Booking,Upon Booking,4.9,HO213,Eddie,Not Mentioned,https://www.airbnb.com/experiences/285231?location=Timur%20Laut&currentTab=experience_tab&federatedSearchId=cac57fef-22cf-49d5-94d1-cf82d98e24d0&searchId=0cfb8ac2-058f-4d16-b479-65394adb963b&sectionId=366d6daf-cfa8-40db-94ae-f2e5258f5dd9,"Cycling tour through plantations, orchards, and traditional Malay villages to explore hidden gems.","cycling, countryside, eco tourism",7.00 a.m. - 10.15 a.m.,Upon Booking,Upon Booking,65,"Biking through Malay Countryside cycling, countryside, eco tourism Cycling tour through plantations, orchards, and traditional Malay villages to explore hidden gems."
EX17,Bonita and Beads Sarawak,"Bonita and Beads Sarawak celebrates the intricate art of Bornean beadwork through handcrafted accessories inspired by indigenous Dayak designs. Each piece reflects Sarawak's cultural identity and craftsmanship, empowering local artisans and preserving traditional heritage through modern creative expression.","beads, craft, handmade, Dayak, heritage, arts, culture, Sarawak",Arts & Crafts,"111, Lor Demak Maju 1A, Demak Industrial Park, 93050 Kuching, Sarawak",Sarawak,15,312,9.00  AM - 5.30  PM.,Daily,Sunday,4.4,HO143,Nurul Wanie,016-251 8757,https://www.facebook.com/khaniebonita/,"Bonita and Beads Sarawak celebrates the intricate art of Bornean beadwork through handcrafted accessories inspired by indigenous Dayak designs. Each piece reflects Sarawak's cultural identity and craftsmanship, empowering local artisans and preserving traditional heritage through modern creative expression.","beads, craft, handmade, dayak, heritage, arts, culture, sarawak",9.00 a.m. - 5.30 p.m.,Daily,Sunday,163.5,"Bonita and Beads Sarawak beads, craft, handmade, dayak, heritage, arts, culture, sarawak Bonita and Beads Sarawak celebrates the intricate art of Bornean beadwork through handcrafted accessories inspired by indigenous Dayak designs. Each piece reflects Sarawak's cultural identity and craftsmanship, empowering local artisans and preserving traditional heritage through modern creative expression."
EX18,Borneo Cultural Village,"A living museum that highlights Sabah's diverse ethnic cultures, featuring traditional houses, performances, and local crafts.",culturalvillage tradition borneo,Culture & Heritage,Papar,Sabah,120,130,10.00 AM - 4.00 PM,Daily,Not Mentioned,4.6,HO218,Borneo Cultural Village,010-293 3644,https://www.sabahtravel.com/attraction/borneo-cultural-village,"A living museum that highlights Sabah's diverse ethnic cultures, featuring traditional houses, performances, and local crafts.",culturalvillage tradition borneo,10.00 a.m. - 4.00 p.m.,Daily,Not Mentioned,125,"Borneo Cultural Village culturalvillage tradition borneo A living museum that highlights Sabah's diverse ethnic cultures, featuring traditional houses, performances, and local crafts."
EX19,Borneo Happy Farm,"Family-friendly agro-park with animal feeding, vegetable farms, and eco-education programs. (borneohappyfarm.com)","agropark, ecotourism, family, sarawak",Nature & Eco,Kuching,Sarawak,28,48,9:00  AM - 5:00  PM,Tue - Sun,Monday,4.6,HO87,Borneo Happy Farm,016-879 1360,https://borneohappyfarm.com,"Family-friendly agro-park with animal feeding, vegetable farms, and eco-education programs. (borneohappyfarm.com)","agropark, ecotourism, family, sarawak",9.00 a.m. - 5.00 p.m.,Tuesday - Sunday,Monday,38,"Borneo Happy Farm agropark, ecotourism, family, sarawak Family-friendly agro-park with animal feeding, vegetable farms, and eco-education programs. (borneohappyfarm.com)"
EX20,Borneo Tree House,"An eco-retreat built in the trees, offering unique forest stays with guided treks, birdwatching, and nature exploration.",treehouse ecostay jungleexperience,Nature & Eco,Kota Kinabalu,Sabah,37,74,24 Hours,Daily,Not Mentioned,3.9,HO223,Borneo Tree House,010-305 1406,https://www.facebook.com/borneotreehouseresort/,"An eco-retreat built in the trees, offering unique forest stays with guided treks, birdwatching, and nature exploration.",treehouse ecostay jungleexperience,24 Hours,Daily,Not Mentioned,55.5,"Borneo Tree House treehouse ecostay jungleexperience An eco-retreat built in the trees, offering unique forest stays with guided treks, birdwatching, and nature exploration."
EX21,Bot Ronda Murah Tasik Santuari Hopping,Affordable boat tours exploring scenic lakes and natural sanctuaries in Perlis.,"eco tour, lake, perlis, nature",Nature & Eco,Tasik Melati,Perlis,15,40,9:00  AM - 5:00  PM,Daily,Monday,4.7,HO53,Tasik Santuari Crew,018-889 4421,https://www.facebook.com/TasikSantuariTour,Affordable boat tours exploring scenic lakes and natural sanctuaries in Perlis.,"eco tour, lake, perlis, nature",9.00 a.m. - 5.00 p.m.,Daily,Monday,27.5,"Bot Ronda Murah Tasik Santuari Hopping eco tour, lake, perlis, nature Affordable boat tours exploring scenic lakes and natural sanctuaries in Perlis."
EX22,Botanical Gardens Penang,"A lush tropical park established in 1884 with rainforest trails, orchids and picnic areas. Tour Travel World+3MyTrip Malaysia+3Wanderlog+3","nature, garden, eco, penang",Nature & Eco,George Town,Penang,0,0,5:00 AM-8:00 PM ,Daily,Not Mentioned,4.5,HO110,Botanical Gardens Penang,014-555 1234,Free entry; official page: botanicalgardens.penang.gov.my,"A lush tropical park established in 1884 with rainforest trails, orchids and picnic areas. Tour Travel World+3MyTrip Malaysia+3Wanderlog+3","nature, garden, eco, penang",5.00 a.m. - 8.00 p.m.,Daily,Not Mentioned,0,"Botanical Gardens Penang nature, garden, eco, penang A lush tropical park established in 1884 with rainforest trails, orchids and picnic areas. Tour Travel World+3MyTrip Malaysia+3Wanderlog+3"
EX23,Busana & Tanjak Pengiran,"A boutique producing traditional Malay attire such as Baju Layang, Baju Silat, Baju Sikap, and accessories like pending and samping.","traditional wear, busana melayu, tanjak",Culture & Heritage,"No.1, Tingkat 2, Kompleks Pekan Selasa, Kuala Nerang, 06300 Kuala Nerang, Kedah",Kedah,80,220,10.00  AM - 4.30  PM,Daily,Thursday,5,HO191,Busana & Tanjak Pengiran,011-1307 0771,https://shopee.com.my/diayu71,"A boutique producing traditional Malay attire such as Baju Layang, Baju Silat, Baju Sikap, and accessories like pending and samping.","traditional wear, busana melayu, tanjak",10.00 a.m. - 4.30 p.m.,Daily,Thursday,150,"Busana & Tanjak Pengiran traditional wear, busana melayu, tanjak A boutique producing traditional Malay attire such as Baju Layang, Baju Silat, Baju Sikap, and accessories like pending and samping."
EX24,Cameron Highlands Day Tour from Ipoh with Mossy Forest,"A guided day trip from Ipoh featuring the famous Mossy Forest, tea plantations, and local attractions in Cameron Highlands.","nature, tour, cameron highlands, eco",Nature & Eco,Cameron Highlands,Pahang,150,300,8:00  AM - 6:00  PM,Daily,Not Mentioned,4.9,HO56,Cameron Eco Tour,017-889 4421,https://www.facebook.com/CameronEcoTour,"A guided day trip from Ipoh featuring the famous Mossy Forest, tea plantations, and local attractions in Cameron Highlands.","nature, tour, cameron highlands, eco",8.00 a.m. - 6.00 p.m.,Daily,Not Mentioned,225,"Cameron Highlands Day Tour from Ipoh with Mossy Forest nature, tour, cameron highlands, eco A guided day trip from Ipoh featuring the famous Mossy Forest, tea plantations, and local attractions in Cameron Highlands."
EX25,Cencol Sagu Rumbia,"Homemade dessert made from sago palm, a local delicacy from Borneo.","dessert, traditional, sago, borneo",Food & Culinary,Seremban,Negeri Sembilan,15,35,10:00  AM - 6:00  PM,Daily,Not Mentioned,4.7,HO32,Cencol Sagu Rumbia,011-2345 8765,https://www.facebook.com/cencolsagurumbia,"Homemade dessert made from sago palm, a local delicacy from Borneo.","dessert, traditional, sago, borneo",10.00 a.m. - 6.00 p.m.,Daily,Not Mentioned,25,"Cencol Sagu Rumbia dessert, traditional, sago, borneo Homemade dessert made from sago palm, a local delicacy from Borneo."
EX26,Cenderamata Kayu by Kayu Warisan,"Workshop crafting rustic wooden furniture and home décor including stools, tables, and ornaments. Custom orders accepted.","woodcraft, rustic furniture, handmade",Arts & Crafts,"Jln Sawah Baru, Kampung Leboh, 85300, Johor Darul Ta'zim",Johor,140,400,8.00  AM - 5.00  PM,Daily,Saturday,4.7,HO174,Nor Hazilawati binti Buang,012-754 2897,https://www.facebook.com/kayuwarisan/?locale=ms_MY,"Workshop crafting rustic wooden furniture and home décor including stools, tables, and ornaments. Custom orders accepted.","woodcraft, rustic furniture, handmade",8.00 a.m. - 5.00 p.m.,Daily,Saturday,270,"Cenderamata Kayu by Kayu Warisan woodcraft, rustic furniture, handmade Workshop crafting rustic wooden furniture and home décor including stools, tables, and ornaments. Custom orders accepted."
EX27,Che Minah Songket,"Founded in 1940, Che Minah Songket continues the legacy of handmade songket weaving in Kota Bharu, Kelantan. The family business preserves traditional techniques passed down for generations.","songket, handwoven, heritage",Arts & Crafts,"350, Kg Penambang, 15350 Kota Bharu, Kelantan",Kelantan,200,1000,9.00  AM - 6.30 PM,Daily,Not Mentioned,4.4,HO155, Mohamed bin Haji Hussein,013-927 1616,https://www.instagram.com/cikminahsongket/?hl=en,"Founded in 1940, Che Minah Songket continues the legacy of handmade songket weaving in Kota Bharu, Kelantan. The family business preserves traditional techniques passed down for generations.","songket, handwoven, heritage",9.00 a.m. - 6.30 p.m.,Daily,Not Mentioned,600,"Che Minah Songket songket, handwoven, heritage Founded in 1940, Che Minah Songket continues the legacy of handmade songket weaving in Kota Bharu, Kelantan. The family business preserves traditional techniques passed down for generations."
EX28,Chew Jetty,"A historic con­struction of stilt houses belonging to the Chew clan, part of Penang's waterfront heritage.","heritage, culture, waterfront, penang",Culture & Heritage,George Town,Penang,0,0,9:00 AM-6:00 PM,Daily,Not Mentioned,4.4,HO111,Chew Jetty Community,016-222 3344,Visit the wooden boardwalk for sunset views.,"A historic con­struction of stilt houses belonging to the Chew clan, part of Penang's waterfront heritage.","heritage, culture, waterfront, penang",9.00 a.m. - 6.00 p.m.,Daily,Not Mentioned,0,"Chew Jetty heritage, culture, waterfront, penang A historic con­struction of stilt houses belonging to the Chew clan, part of Penang's waterfront heritage."
EX29,Chillax Paddy Field Sunset Biking,Cycling tour through Balik Pulau's paddy fields at sunset for scenic views and relaxation.,"cycling, nature, outdoor, penang",Nature & Eco,Balik Pulau,Penang,45,120,4:30 PM-7:30 PM,Daily,Not Mentioned,4.5,HO119,Chillax Tours,012-900 4450,Includes bike hire & guide.,Cycling tour through Balik Pulau's paddy fields at sunset for scenic views and relaxation.,"cycling, nature, outdoor, penang",4.30 p.m. - 7.30 p.m.,Daily,Not Mentioned,82.5,"Chillax Paddy Field Sunset Biking cycling, nature, outdoor, penang Cycling tour through Balik Pulau's paddy fields at sunset for scenic views and relaxation."
EX30,Choley Kampung Warna Warni Kuala Perlis,"Colorful village attraction with vibrant murals, local food stalls, and seaside views.","village, tourism, perlis, culture",Nature & Eco,Kuala Perlis,Perlis,0,0,8:00  AM - 7:00  PM,Daily,Not Mentioned,4.8,HO54,Kampung Warna Warni,011-909 2299,https://www.facebook.com/KampungWarnaWarni,"Colorful village attraction with vibrant murals, local food stalls, and seaside views.","village, tourism, perlis, culture",8.00 a.m. - 7.00 p.m.,Daily,Not Mentioned,0,"Choley Kampung Warna Warni Kuala Perlis village, tourism, perlis, culture Colorful village attraction with vibrant murals, local food stalls, and seaside views."
EX31,Cozy Leisure Farm (Bertam Valley),"A leisure farm offering fruit-picking, mini zoo visits, and comfortable stays for family trips.","agro tourism, farm, family, cameron highlands",Nature & Eco,Bertam Valley,Pahang,20,60,9:00  AM - 5:00  PM,Daily,Not Mentioned,4.7,HO64,Cozy Leisure Farm,013-889 3344,https://www.facebook.com/CozyLeisureFarm,"A leisure farm offering fruit-picking, mini zoo visits, and comfortable stays for family trips.","agro tourism, farm, family, cameron highlands",9.00 a.m. - 5.00 p.m.,Daily,Not Mentioned,40,"Cozy Leisure Farm (Bertam Valley) agro tourism, farm, family, cameron highlands A leisure farm offering fruit-picking, mini zoo visits, and comfortable stays for family trips."
EX32,Cwoks Batik workshop,"Cwoks Batik Workshop is an art gallery and creative studio offering hands-on batik painting sessions starting from RM10. Open daily from 10am to 6pm, it provides visitors with an accessible and fun way to explore Malaysia's traditional batik art.","batik, art workshop, handicraft, interactive experience, culture, creative activity, local art",Arts & Crafts,"Kompleks Kraf Kuala Lumpur, Jalan Conlay, Wilayah Persekutuan, 50450 Kuala Lumpur",Kuala Lumpur,10,50,10.00  AM - 6.00  PM,Daily,Not Mentioned,5,HO149,Cwoks Batik,012-257 2344,https://www.instagram.com/cwoksbatikworkshop/?hl=en,"Cwoks Batik Workshop is an art gallery and creative studio offering hands-on batik painting sessions starting from RM10. Open daily from 10am to 6pm, it provides visitors with an accessible and fun way to explore Malaysia's traditional batik art.","batik, art workshop, handicraft, interactive experience, culture, creative activity, local art",10.00 a.m. - 6.00 p.m.,Daily,Not Mentioned,30,"Cwoks Batik workshop batik, art workshop, handicraft, interactive experience, culture, creative activity, local art Cwoks Batik Workshop is an art gallery and creative studio offering hands-on batik painting sessions starting from RM10. Open daily from 10am to 6pm, it provides visitors with an accessible and fun way to explore Malaysia's traditional batik art."
EX33,Dapako Hill - Lingga Eco Tourism,"Hilltop attraction offering scenic views, hiking trails, and eco-accommodation near Kota Belud.","ecotourism, hiking, sabah, nature",Nature & Eco,Kota Belud,Sabah,5,60,8:00  AM - 6:00  PM,Daily,Not Mentioned,4.7,HO79,Dapako Hill,013-881 2251,https://www.facebook.com/dapakohill,"Hilltop attraction offering scenic views, hiking trails, and eco-accommodation near Kota Belud.","ecotourism, hiking, sabah, nature",8.00 a.m. - 6.00 p.m.,Daily,Not Mentioned,32.5,"Dapako Hill - Lingga Eco Tourism ecotourism, hiking, sabah, nature Hilltop attraction offering scenic views, hiking trails, and eco-accommodation near Kota Belud."
EX34,Dapo Kueh by Norhayu Kitchen,Sells various types of traditional kuih muih and homemade dishes.,"kuih muih, homemade, dessert",Food & Culinary,"Pusat Perniagaan Taman Sri Serting Taman Sri Serting, Taman sri serting, 72120 Bandar Seri Jempol, Negeri Sembilan",Negeri Sembilan,1,20,11.30  AM - 6.30  PM.,Daily,Wednesday,4.5,HO209,Norhayu Kitchen,013-365 5096,https://www.facebook.com/KuihKeriaGulaMelakaBSJ/,Sells various types of traditional kuih muih and homemade dishes.,"kuih muih, homemade, dessert",11.30 a.m. - 6.30 p.m.,Daily,Wednesday,10.5,"Dapo Kueh by Norhayu Kitchen kuih muih, homemade, dessert Sells various types of traditional kuih muih and homemade dishes."
